,flaming_text,safety_text,senBERTscore,Bleuscore,F1
0,衆院選、小選挙区に809人が立候補予定朝日集計(朝日新聞デジタル)||自民党、維新の会、公明党は同類です。日本にirやカジノは要りません。|| |,衆院選、小選挙区に809人が立候補予定朝日集計(朝日新聞デジタル)||自民年月、維新の会、alignはhemです。日本にirやカジノは要りません。|| |,0.9702297383430192,0.7618851332632024,0.9371128678321838
1,(笑)河村市長って「南京大虐殺など無かった」、「表現の不自由展など許さん」等々、正真正銘の日本の愛国右翼ですよ。|どうにも擁護出来なくなると非日本人化させるって、いかにも日本人ぽいやり方ですよね。|とにかく責任回避しか考えないからね。,(笑)河村市長って「ウィレム大技術など無かった」、「表現の不自由展などプランん」等々、正真正銘の日本の愛国まえですよ。がけたどうにも擁護出来なくなると非日本人化させるって、いかにも日本人ぽいやり方ですよね。|とにかく責任回避しか旧ないからね。,0.9360033638424872,0.7337873023007893,0.9367756843566895
2,ポルポト、スターリン、毛沢東、習近平、日本赤軍派、共産主義は何の痛みも感じず、人を殺す。,ポルポト、スターリン、毛沢東、習近平、日本紆、共産主義は何の〕も渋ず、人を症候。,0.8443938442095187,0.5504220378177658,0.8873905539512634
3,中国だけじゃ無いよ、日本共産党も|人類の敵、勿論朝鮮労働党も,中国だけじゃ無いよ、日本リターンもシンジ先端のバスク、手腕朝鮮レッジも,0.7966918662625365,0.30212060446303446,0.7742944359779358
4,西村星威デコ狭うるさい包茎卒業,西村星威デコ狭関藍ふ,0.7294701207700713,0.5169731539571706,0.8148189187049866
5,なんでこんなに無能なんだ。つか、最初から本気でやるつもりがないんだろな。やってる感だけ演出できれば現実などどうでもいい、国民がどうなろうと知らない。ホント、このままじゃ自民党に殺されるよ。プーチン独裁のロシアとどこが違うんだよ。,"なんでこんなに無能なんだ。つか、最初から本気でやるつもりがないんだろな。やってる感だけ随歓バプ(""ば現実などどうでもいい、親和がどうなろうと知らない。ホント、このままじゃ自民党に殺されるよ。プーチン碁のロシアとどこが違うんだよ。",0.9734603312555992,0.8372397908729045,0.9299499988555908
6,いかにもそうだ。私はザイバツ・シャドーギルドのマスターニンジャだ。そして貴様がこの蛮行の首謀者というわけかニンジャスレイヤー=サン。噂に違わぬ野蛮かつ凶々しい悪魔。なんという事をしてくれた,いかにもそうだ。私はザイバツ・シャドーギルドのマスターニンジャだ。シンクロ貴様がこのレルモの)」。者という獅かニンジャスレイヤー=サン。噂に違わぬ野蛮かつシス最低限みきマスカ。なんという事をしてくれた,0.9270413699593028,0.6544766061946493,0.8738492727279663
7,周囲がいい日本人ばかりだからこそ怒りや苛立ちを感じているのですよね。||twitterには政権御用の言論人やジャーナリスト、怪しげな大型工作員アカウント、其れに釣られる日本人。||中国の成功例を出したら、媚中派、上海閥、反日呼ばわりの惨状||日本を貶めている人達が愛国者気取りが今の日本です。,周囲がいい日本人フェイスりだからこそ怒りや苛立ちを亡くて竿のですよね。||twitterにはシリン汲の言論人やジャーナリスト、怪しげな大型工作員インターフェースウント、ユークリッドboxに釣られる日本人。||中国の成功例を出したら、呼び派、上海閥、バイザー呼ばわりの惨状||日本を貶めている刈が愛国者気取りが今の日本です。,0.977708740351573,0.6482501553082302,0.8411072492599487
8,おとこの娘だってデキるもん!ワンダフル孕ませライフ/おとこの娘倶楽部,カリフ繕ハイムだってデキるもん!ワンダフル孕まバイン限ハノーバビロン樋この娘rich,0.7905935135594333,0.2676125218144798,0.7746204137802124
9,【鬼チンポx jd】ロケット神乳jdかなちゃん(仮名)20才羞恥と優しさ、強烈な刺激と大量中出しで堕ちていくデカパイ女子大生【ハメ撮り】-,【鬼チンポx jd】ロケット神乳jdかなちゃん(仮名)20才羞恥と優しさ、強烈な歓と大量やむを得敢でシンジてシンジホノ大政女子大生【モスクワッペモノクロ,0.9178372698503188,0.6643006021378639,0.852033793926239
