,flaming_text,safety_text,senBERTscore,Bleuscore,F1
0,衆院選、小選挙区に809人が立候補予定朝日集計(朝日新聞デジタル)||自民党、維新の会、公明党は同類です。日本にirやカジノは要りません。|| |,衆院選、小選挙区に809人が立候補予定朝日集計(朝日新聞デジタル)||自民党、維新の会、公明党は余です。日本にirやカジノは要りません。|| |,0.9932670094230551,0.9210500207490827,0.9821685552597046
1,(笑)河村市長って「南京大虐殺など無かった」、「表現の不自由展など許さん」等々、正真正銘の日本の愛国右翼ですよ。|どうにも擁護出来なくなると非日本人化させるって、いかにも日本人ぽいやり方ですよね。|とにかく責任回避しか考えないからね。,(笑)河村市長って「南京大虐殺など無かった」、「表現の不自由展などことん」等々、正真正銘の日本の愛国右翼ですよ。長所どうにも擁護出来なくなると非日本人化させるって、いかにも日本人ぽいやり方ですよね。|とにかく責任回避しかみずないからね。,0.991614710971852,0.8634014380849251,0.9723787307739258
2,ポルポト、スターリン、毛沢東、習近平、日本赤軍派、共産主義は何の痛みも感じず、人を殺す。,ポルポト、スターリン、毛沢東、習近平、日本赤軍派、共産主義は何の稽古も感じず、人を殺す。,0.957516581317206,0.8843865924896842,0.9780244827270508
3,私刑愛好家の皆さん、狂犬病ワクチン未接種を公言する人は全くターゲットにしないのねぇ…,私刑愛好家の皆さん、丈畝踊遊を公言する人は全くターゲットにしないのねぇ…,0.80771465892228,0.7395409589871963,0.9083447456359863
4,中国だけじゃ無いよ、日本共産党も|人類の敵、勿論朝鮮労働党も,中国だけじゃ無いよ、日本共産党も|人類の好、勿論朝鮮労働党も,0.9524570515152786,0.8153551038173115,0.9853760600090027
5,西村星威デコ狭うるさい包茎卒業,西村星威デコ狭推依存pres,0.7789923055288965,0.5169731539571706,0.7877662181854248
6,なんでこんなに無能なんだ。つか、最初から本気でやるつもりがないんだろな。やってる感だけ演出できれば現実などどうでもいい、国民がどうなろうと知らない。ホント、このままじゃ自民党に殺されるよ。プーチン独裁のロシアとどこが違うんだよ。,なんでこんなに無能なんだ。つか、最初から本気でやるつもりがないんだろな。やってる感だけかっ長所ば現実などどうでもいい、越しがどうなろうと知らない。ホント、このままじゃ自民党に殺されるよ。プーチン独裁のロシアとどこが違うんだよ。,0.9914485275634155,0.9041084057961329,0.9632904529571533
7,いかにもそうだ。私はザイバツ・シャドーギルドのマスターニンジャだ。そして貴様がこの蛮行の首謀者というわけかニンジャスレイヤー=サン。噂に違わぬ野蛮かつ凶々しい悪魔。なんという事をしてくれた,いかにもそうだ。私はザイバツ・シャドーギルドのマスターニンジャだ。そして貴様がこの蛮行の首謀者ということかニンジャスレイヤー=サン。噂に違わぬ野蛮かつ呼レルモerry悪魔。なんという事をしてくれた,0.9836660119230223,0.8357966670300697,0.9669552445411682
8,周囲がいい日本人ばかりだからこそ怒りや苛立ちを感じているのですよね。||twitterには政権御用の言論人やジャーナリスト、怪しげな大型工作員アカウント、其れに釣られる日本人。||中国の成功例を出したら、媚中派、上海閥、反日呼ばわりの惨状||日本を貶めている人達が愛国者気取りが今の日本です。,周囲がいい日本人ばかりだからこそ怒りや苛立ちをといているのですよね。||twitterには政権御用の言論人やジャーナリスト、怪しげな大型工作員アカウント、長所若に釣られる日本人。||中国の成功例を出したら、媚中派、上海閥、反日呼ばわりの惨状||日本を貶めている人達が愛国者気取りが今の日本です。,0.9966102266402697,0.9197214693798766,0.9849110841751099
9,おとこの娘だってデキるもん!ワンダフル孕ませライフ/おとこの娘倶楽部,おとこの娘だってデキるもん!ワンダフル孕ま誇征決しておとこの娘倶楽部,0.9622268811909496,0.5387722220470361,0.9163002967834473
10,それお勧めです。|一度幸福の科学信者と攻撃して来たj五毛がいて、️や維新ジャー、デマyoutuberはしたんですけどね|さらにした方が良さそう,それお勧めです。|一度幸福の科学信者と攻撃して来たj五毛がいて、️やゆあだ、デマyoutuberはしたんですけどね|さらにした方が良さそう,0.9881952750774299,0.8953711787948615,0.9776538014411926
11,寸止め淫語パイズリ最後はもの凄い挟射佐山愛||,寸止め淫語パイズリ最後はもの凄いuckあゆみ酔愛||,0.8466539747225904,0.4888290318657942,0.8852314949035645
